componente,date,value
Bread and cereals,2020/01,0.02
Bread and cereals,2020/02,0.02
Bread and cereals,2020/03,0.029999999999999999
Bread and cereals,2020/04,0.040000000000000001
Bread and cereals,2020/05,0.040000000000000001
Bread and cereals,2020/06,0.029999999999999999
Bread and cereals,2020/07,0.02
Bread and cereals,2020/08,0.01
Bread and cereals,2020/09,0.01
Bread and cereals,2020/10,0.01
Bread and cereals,2020/11,0.01
Bread and cereals,2020/12,0.01
Bread and cereals,2021/01,0.02
Bread and cereals,2021/02,0.02
Bread and cereals,2021/03,0.02
Bread and cereals,2021/04,0
Bread and cereals,2021/05,0.01
Bread and cereals,2021/06,0.01
Bread and cereals,2021/07,0.029999999999999999
Bread and cereals,2021/08,0.040000000000000001
Bread and cereals,2021/09,0.050000000000000003
Bread and cereals,2021/10,0.059999999999999998
Rice,2020/01,0
Rice,2020/02,0
Rice,2020/03,0
Rice,2020/04,0
Rice,2020/05,0
Rice,2020/06,0
Rice,2020/07,0
Rice,2020/08,0
Rice,2020/09,0
Rice,2020/10,0
Rice,2020/11,0
Rice,2020/12,0
Rice,2021/01,0
Rice,2021/02,0
Rice,2021/03,0
Rice,2021/04,0
Rice,2021/05,0
Rice,2021/06,0
Rice,2021/07,0
Rice,2021/08,0
Rice,2021/09,0
Rice,2021/10,0
Flours and other cereals,2020/01,0
Flours and other cereals,2020/02,0
Flours and other cereals,2020/03,0
Flours and other cereals,2020/04,0
Flours and other cereals,2020/05,0
Flours and other cereals,2020/06,0
Flours and other cereals,2020/07,0
Flours and other cereals,2020/08,0
Flours and other cereals,2020/09,0
Flours and other cereals,2020/10,0
Flours and other cereals,2020/11,0
Flours and other cereals,2020/12,0
Flours and other cereals,2021/01,0
Flours and other cereals,2021/02,0
Flours and other cereals,2021/03,0
Flours and other cereals,2021/04,0
Flours and other cereals,2021/05,0
Flours and other cereals,2021/06,0
Flours and other cereals,2021/07,0
Flours and other cereals,2021/08,0
Flours and other cereals,2021/09,0
Flours and other cereals,2021/10,0
Bread,2020/01,0.01
Bread,2020/02,0.01
Bread,2020/03,0.01
Bread,2020/04,0.02
Bread,2020/05,0.01
Bread,2020/06,0.01
Bread,2020/07,0.01
Bread,2020/08,0
Bread,2020/09,0
Bread,2020/10,0
Bread,2020/11,0
Bread,2020/12,0
Bread,2021/01,0.01
Bread,2021/02,0.01
Bread,2021/03,0.01
Bread,2021/04,0
Bread,2021/05,0.01
Bread,2021/06,0.01
Bread,2021/07,0.02
Bread,2021/08,0.02
Bread,2021/09,0.029999999999999999
Bread,2021/10,0.029999999999999999
Other bakery products,2020/01,0.01
Other bakery products,2020/02,0.01
Other bakery products,2020/03,0.01
Other bakery products,2020/04,0.01
Other bakery products,2020/05,0.01
Other bakery products,2020/06,0.01
Other bakery products,2020/07,0
Other bakery products,2020/08,0
Other bakery products,2020/09,0
Other bakery products,2020/10,0
Other bakery products,2020/11,0
Other bakery products,2020/12,0
Other bakery products,2021/01,0
Other bakery products,2021/02,0
Other bakery products,2021/03,0
Other bakery products,2021/04,0
Other bakery products,2021/05,0
Other bakery products,2021/06,0
Other bakery products,2021/07,0.01
Other bakery products,2021/08,0.01
Other bakery products,2021/09,0.01
Other bakery products,2021/10,0.01
Pizza and quiche,2020/01,0
Pizza and quiche,2020/02,0
Pizza and quiche,2020/03,0
Pizza and quiche,2020/04,0
Pizza and quiche,2020/05,0
Pizza and quiche,2020/06,0
Pizza and quiche,2020/07,0
Pizza and quiche,2020/08,0
Pizza and quiche,2020/09,0
Pizza and quiche,2020/10,0
Pizza and quiche,2020/11,0
Pizza and quiche,2020/12,0
Pizza and quiche,2021/01,0
Pizza and quiche,2021/02,0
Pizza and quiche,2021/03,0
Pizza and quiche,2021/04,0
Pizza and quiche,2021/05,0
Pizza and quiche,2021/06,0
Pizza and quiche,2021/07,0
Pizza and quiche,2021/08,0
Pizza and quiche,2021/09,0
Pizza and quiche,2021/10,0
Pasta products and couscous,2020/01,0
Pasta products and couscous,2020/02,0
Pasta products and couscous,2020/03,0
Pasta products and couscous,2020/04,0.01
Pasta products and couscous,2020/05,0.01
Pasta products and couscous,2020/06,0
Pasta products and couscous,2020/07,0
Pasta products and couscous,2020/08,0
Pasta products and couscous,2020/09,0
Pasta products and couscous,2020/10,0
Pasta products and couscous,2020/11,0
Pasta products and couscous,2020/12,0
Pasta products and couscous,2021/01,0
Pasta products and couscous,2021/02,0
Pasta products and couscous,2021/03,0
Pasta products and couscous,2021/04,0
Pasta products and couscous,2021/05,0
Pasta products and couscous,2021/06,0
Pasta products and couscous,2021/07,0
Pasta products and couscous,2021/08,0
Pasta products and couscous,2021/09,0
Pasta products and couscous,2021/10,0.01
Breakfast cereals,2020/01,0
Breakfast cereals,2020/02,0
Breakfast cereals,2020/03,0
Breakfast cereals,2020/04,0
Breakfast cereals,2020/05,0
Breakfast cereals,2020/06,0
Breakfast cereals,2020/07,0
Breakfast cereals,2020/08,0
Breakfast cereals,2020/09,0
Breakfast cereals,2020/10,0
Breakfast cereals,2020/11,0
Breakfast cereals,2020/12,0
Breakfast cereals,2021/01,0
Breakfast cereals,2021/02,0
Breakfast cereals,2021/03,0
Breakfast cereals,2021/04,0
Breakfast cereals,2021/05,0
Breakfast cereals,2021/06,0
Breakfast cereals,2021/07,0
Breakfast cereals,2021/08,0
Breakfast cereals,2021/09,0
Breakfast cereals,2021/10,0
Other cereal products,2020/01,0
Other cereal products,2020/02,0
Other cereal products,2020/03,0
Other cereal products,2020/04,0
Other cereal products,2020/05,0
Other cereal products,2020/06,0
Other cereal products,2020/07,0
Other cereal products,2020/08,0
Other cereal products,2020/09,0
Other cereal products,2020/10,0
Other cereal products,2020/11,0
Other cereal products,2020/12,0
Other cereal products,2021/01,0
Other cereal products,2021/02,0
Other cereal products,2021/03,0
Other cereal products,2021/04,0
Other cereal products,2021/05,0
Other cereal products,2021/06,0
Other cereal products,2021/07,0
Other cereal products,2021/08,0
Other cereal products,2021/09,0
Other cereal products,2021/10,0
Meat,2020/01,0.13
Meat,2020/02,0.14999999999999999
Meat,2020/03,0.17000000000000001
Meat,2020/04,0.17999999999999999
Meat,2020/05,0.16
Meat,2020/06,0.14000000000000001
Meat,2020/07,0.11
Meat,2020/08,0.10000000000000001
Meat,2020/09,0.089999999999999997
Meat,2020/10,0.080000000000000002
Meat,2020/11,0.070000000000000007
Meat,2020/12,0.050000000000000003
Meat,2021/01,0.040000000000000001
Meat,2021/02,0.029999999999999999
Meat,2021/03,0.02
Meat,2021/04,0.01
Meat,2021/05,0.02
Meat,2021/06,0.02
Meat,2021/07,0.050000000000000003
Meat,2021/08,0.050000000000000003
Meat,2021/09,0.059999999999999998
Meat,2021/10,0.070000000000000007
Beef and veal,2020/01,0.01
Beef and veal,2020/02,0.01
Beef and veal,2020/03,0.01
Beef and veal,2020/04,0.01
Beef and veal,2020/05,0.01
Beef and veal,2020/06,0.01
Beef and veal,2020/07,0.01
Beef and veal,2020/08,0.01
Beef and veal,2020/09,0.01
Beef and veal,2020/10,0.01
Beef and veal,2020/11,0.01
Beef and veal,2020/12,0.01
Beef and veal,2021/01,0.01
Beef and veal,2021/02,0.01
Beef and veal,2021/03,0
Beef and veal,2021/04,0
Beef and veal,2021/05,0
Beef and veal,2021/06,0
Beef and veal,2021/07,0.01
Beef and veal,2021/08,0.01
Beef and veal,2021/09,0.01
Beef and veal,2021/10,0.02
Pork,2020/01,0.029999999999999999
Pork,2020/02,0.029999999999999999
Pork,2020/03,0.040000000000000001
Pork,2020/04,0.040000000000000001
Pork,2020/05,0.029999999999999999
Pork,2020/06,0.029999999999999999
Pork,2020/07,0.02
Pork,2020/08,0.02
Pork,2020/09,0.02
Pork,2020/10,0.02
Pork,2020/11,0.01
Pork,2020/12,0.01
Pork,2021/01,0
Pork,2021/02,0
Pork,2021/03,0
Pork,2021/04,-0.01
Pork,2021/05,0
Pork,2021/06,0
Pork,2021/07,0
Pork,2021/08,0
Pork,2021/09,0
Pork,2021/10,0
Lamb and goat,2020/01,0
Lamb and goat,2020/02,0
Lamb and goat,2020/03,0
Lamb and goat,2020/04,0
Lamb and goat,2020/05,0
Lamb and goat,2020/06,0
Lamb and goat,2020/07,0
Lamb and goat,2020/08,0
Lamb and goat,2020/09,0
Lamb and goat,2020/10,0
Lamb and goat,2020/11,0
Lamb and goat,2020/12,0
Lamb and goat,2021/01,0
Lamb and goat,2021/02,0
Lamb and goat,2021/03,0
Lamb and goat,2021/04,0
Lamb and goat,2021/05,0
Lamb and goat,2021/06,0.01
Lamb and goat,2021/07,0
Lamb and goat,2021/08,0
Lamb and goat,2021/09,0
Lamb and goat,2021/10,0.01
Poultry,2020/01,0.01
Poultry,2020/02,0.01
Poultry,2020/03,0.01
Poultry,2020/04,0.02
Poultry,2020/05,0.01
Poultry,2020/06,0.01
Poultry,2020/07,0.01
Poultry,2020/08,0.01
