series,country_name,date,value
subyacente,El mundo árabe,1960,
subyacente,El mundo árabe,1961,
subyacente,El mundo árabe,1962,
subyacente,El mundo árabe,1963,
subyacente,El mundo árabe,1964,
subyacente,El mundo árabe,1965,
subyacente,El mundo árabe,1966,
subyacente,El mundo árabe,1967,
subyacente,El mundo árabe,1968,
subyacente,El mundo árabe,1969,
subyacente,El mundo árabe,1970,
subyacente,El mundo árabe,1971,
subyacente,El mundo árabe,1972,
subyacente,El mundo árabe,1973,8.26666666600004
subyacente,El mundo árabe,1974,15.5282817502668
subyacente,El mundo árabe,1975,9.66969548151247
subyacente,El mundo árabe,1976,10.3174158877413
subyacente,El mundo árabe,1977,11.989283322105
subyacente,El mundo árabe,1978,9.71603274954343
subyacente,El mundo árabe,1979,
subyacente,El mundo árabe,1980,9.62605664613179
subyacente,El mundo árabe,1981,10.7585034160145
subyacente,El mundo árabe,1982,8.33125575581154
subyacente,El mundo árabe,1983,5.49366551432092
subyacente,El mundo árabe,1984,8.11639795517099
subyacente,El mundo árabe,1985,7.25436179981637
subyacente,El mundo árabe,1986,6.79885844748841
subyacente,El mundo árabe,1987,4.2224166624075
subyacente,El mundo árabe,1988,5.9115449637349
subyacente,El mundo árabe,1989,7.74088603961338
subyacente,El mundo árabe,1990,8.45146240803884
subyacente,El mundo árabe,1991,9.00000000000004
subyacente,El mundo árabe,1992,9.35975158953137
subyacente,El mundo árabe,1993,9.37034415971456
subyacente,El mundo árabe,1994,5.11259890444316
subyacente,El mundo árabe,1995,6.5437906852417
subyacente,El mundo árabe,1996,4.68130623916412
subyacente,El mundo árabe,1997,3.60116103260948
subyacente,El mundo árabe,1998,3.417319489758
subyacente,El mundo árabe,1999,2.66937369053699
subyacente,El mundo árabe,2000,1.85379035325276
subyacente,El mundo árabe,2001,1.77220437351018
subyacente,El mundo árabe,2002,1.83299389002049
subyacente,El mundo árabe,2003,2.7125924747435
subyacente,El mundo árabe,2004,3.63228004956626
subyacente,El mundo árabe,2005,3.4936853461953
subyacente,El mundo árabe,2006,3.54498591605032
subyacente,El mundo árabe,2007,4.74390639021646
subyacente,El mundo árabe,2008,11.2706652380849
subyacente,El mundo árabe,2009,2.92089711805365
subyacente,El mundo árabe,2010,3.91106195534027
subyacente,El mundo árabe,2011,4.75316388885632
subyacente,El mundo árabe,2012,4.61184432206646
subyacente,El mundo árabe,2013,3.23810833914068
subyacente,El mundo árabe,2014,2.77351613126121
subyacente,El mundo árabe,2015,1.81407723937759
subyacente,El mundo árabe,2016,2.06884036053476
subyacente,El mundo árabe,2017,1.96682557818839
subyacente,El mundo árabe,2018,2.45814158007533
subyacente,El mundo árabe,2019,1.09184802655847
subyacente,El mundo árabe,2020,1.54583177295074
subyacente,Estados pequeos del Caribe,1960,
subyacente,Estados pequeos del Caribe,1961,
subyacente,Estados pequeos del Caribe,1962,
subyacente,Estados pequeos del Caribe,1963,
subyacente,Estados pequeos del Caribe,1964,
subyacente,Estados pequeos del Caribe,1965,
subyacente,Estados pequeos del Caribe,1966,
subyacente,Estados pequeos del Caribe,1967,3.20717908718529
subyacente,Estados pequeos del Caribe,1968,5.36991901857966
subyacente,Estados pequeos del Caribe,1969,5.83523186605491
subyacente,Estados pequeos del Caribe,1970,7.28421637368523
subyacente,Estados pequeos del Caribe,1971,4.61497182668252
subyacente,Estados pequeos del Caribe,1972,6.83081131902367
subyacente,Estados pequeos del Caribe,1973,13.4406006971741
subyacente,Estados pequeos del Caribe,1974,27.1581894550217
subyacente,Estados pequeos del Caribe,1975,17.1776036271348
subyacente,Estados pequeos del Caribe,1976,9.93159565281302
subyacente,Estados pequeos del Caribe,1977,9.73113276853738
subyacente,Estados pequeos del Caribe,1978,9.48238259101763
subyacente,Estados pequeos del Caribe,1979,14.782239267266
subyacente,Estados pequeos del Caribe,1980,17.4703042795772
subyacente,Estados pequeos del Caribe,1981,13.0032028040003
subyacente,Estados pequeos del Caribe,1982,6.88683229482007
subyacente,Estados pequeos del Caribe,1983,4.82105342872054
subyacente,Estados pequeos del Caribe,1984,3.82754534072762
subyacente,Estados pequeos del Caribe,1985,3.82754261573515
subyacente,Estados pequeos del Caribe,1986,2.48224596554418
subyacente,Estados pequeos del Caribe,1987,4.89052222229888
subyacente,Estados pequeos del Caribe,1988,4.20120591393387
subyacente,Estados pequeos del Caribe,1989,5.49030347289852
subyacente,Estados pequeos del Caribe,1990,4.46843787437325
subyacente,Estados pequeos del Caribe,1991,5.8533060327409
subyacente,Estados pequeos del Caribe,1992,5.60501222758813
subyacente,Estados pequeos del Caribe,1993,2.76574841876418
subyacente,Estados pequeos del Caribe,1994,2.12909311979455
subyacente,Estados pequeos del Caribe,1995,2.95680025092623
subyacente,Estados pequeos del Caribe,1996,2.08657385169121
subyacente,Estados pequeos del Caribe,1997,3.55567090578809
subyacente,Estados pequeos del Caribe,1998,3.20194341679088
subyacente,Estados pequeos del Caribe,1999,2.46154935306326
subyacente,Estados pequeos del Caribe,2000,2.30881560835478
subyacente,Estados pequeos del Caribe,2001,2.60262402317311
subyacente,Estados pequeos del Caribe,2002,2.10733447564148
subyacente,Estados pequeos del Caribe,2003,2.19518237141617
subyacente,Estados pequeos del Caribe,2004,2.35433222144195
subyacente,Estados pequeos del Caribe,2005,3.81585143613248
subyacente,Estados pequeos del Caribe,2006,5.46455556193998
subyacente,Estados pequeos del Caribe,2007,4.25755795749896
subyacente,Estados pequeos del Caribe,2008,8.0676476730981
subyacente,Estados pequeos del Caribe,2009,1.23973810805278
subyacente,Estados pequeos del Caribe,2010,3.40326723081753
subyacente,Estados pequeos del Caribe,2011,4.21724265470787
subyacente,Estados pequeos del Caribe,2012,2.98766229242981
subyacente,Estados pequeos del Caribe,2013,1.28950196459005
subyacente,Estados pequeos del Caribe,2014,1.13630969814793
subyacente,Estados pequeos del Caribe,2015,-0.679637508036842
subyacente,Estados pequeos del Caribe,2016,0.4889121436193
subyacente,Estados pequeos del Caribe,2017,1.89252027849556
subyacente,Estados pequeos del Caribe,2018,1.28284288443518
subyacente,Estados pequeos del Caribe,2019,1.43135598182989
subyacente,Estados pequeos del Caribe,2020,
subyacente,Europa Central y del Báltico,1960,
subyacente,Europa Central y del Báltico,1961,
subyacente,Europa Central y del Báltico,1962,
subyacente,Europa Central y del Báltico,1963,
subyacente,Europa Central y del Báltico,1964,
subyacente,Europa Central y del Báltico,1965,
subyacente,Europa Central y del Báltico,1966,
subyacente,Europa Central y del Báltico,1967,
subyacente,Europa Central y del Báltico,1968,
subyacente,Europa Central y del Báltico,1969,
subyacente,Europa Central y del Báltico,1970,
subyacente,Europa Central y del Báltico,1971,
subyacente,Europa Central y del Báltico,1972,
subyacente,Europa Central y del Báltico,1973,
subyacente,Europa Central y del Báltico,1974,
subyacente,Europa Central y del Báltico,1975,
subyacente,Europa Central y del Báltico,1976,
subyacente,Europa Central y del Báltico,1977,
subyacente,Europa Central y del Báltico,1978,
subyacente,Europa Central y del Báltico,1979,
subyacente,Europa Central y del Báltico,1980,
subyacente,Europa Central y del Báltico,1981,
subyacente,Europa Central y del Báltico,1982,
subyacente,Europa Central y del Báltico,1983,
subyacente,Europa Central y del Báltico,1984,
subyacente,Europa Central y del Báltico,1985,
subyacente,Europa Central y del Báltico,1986,
subyacente,Europa Central y del Báltico,1987,
subyacente,Europa Central y del Báltico,1988,
subyacente,Europa Central y del Báltico,1989,
subyacente,Europa Central y del Báltico,1990,
