nombre_comunidad,date,value
Andalucía,2020/01,1
Andalucía,2020/02,0.7
Andalucía,2020/03,0
Andalucía,2020/04,-0.6
Andalucía,2020/05,-0.8
Andalucía,2020/06,-0.2
Andalucía,2020/07,-0.4
Andalucía,2020/08,-0.3
Andalucía,2020/09,-0.3
Andalucía,2020/10,-0.5
Andalucía,2020/11,-0.6
Andalucía,2020/12,-0.3
Andalucía,2021/01,0.6
Andalucía,2021/02,0
Andalucía,2021/03,1.4
Andalucía,2021/04,2.3
Andalucía,2021/05,2.7
Andalucía,2021/06,2.7
Andalucía,2021/07,2.9
Andalucía,2021/08,3.3
Andalucía,2021/09,4.1
Andalucía,2021/10,5.3
Aragón,2020/01,1
Aragón,2020/02,0.6
Aragón,2020/03,-0.2
Aragón,2020/04,-1.2
Aragón,2020/05,-1.3
Aragón,2020/06,-0.6
Aragón,2020/07,-0.7
Aragón,2020/08,-0.7
Aragón,2020/09,-0.5
Aragón,2020/10,-0.8
Aragón,2020/11,-0.8
Aragón,2020/12,-0.6
Aragón,2021/01,0.5
Aragón,2021/02,-0.1
Aragón,2021/03,1.6
Aragón,2021/04,2.6
Aragón,2021/05,3.2
Aragón,2021/06,3.2
Aragón,2021/07,3.2
Aragón,2021/08,3.7
Aragón,2021/09,4.4
Aragón,2021/10,5.8
Principado de Asturias,2020/01,0.9
Principado de Asturias,2020/02,0.4
Principado de Asturias,2020/03,-0.3
Principado de Asturias,2020/04,-0.9
Principado de Asturias,2020/05,-1.3
Principado de Asturias,2020/06,-0.8
Principado de Asturias,2020/07,-0.9
Principado de Asturias,2020/08,-0.6
Principado de Asturias,2020/09,-0.3
Principado de Asturias,2020/10,-0.8
Principado de Asturias,2020/11,-0.8
Principado de Asturias,2020/12,-0.6
Principado de Asturias,2021/01,0.4
Principado de Asturias,2021/02,-0.1
Principado de Asturias,2021/03,1.5
Principado de Asturias,2021/04,2.5
Principado de Asturias,2021/05,2.7
Principado de Asturias,2021/06,2.9
Principado de Asturias,2021/07,2.7
Principado de Asturias,2021/08,3.2
Principado de Asturias,2021/09,3.9
Principado de Asturias,2021/10,5.3
Illes Balears,2020/01,1.1
Illes Balears,2020/02,1
Illes Balears,2020/03,0.2
Illes Balears,2020/04,-0.8
Illes Balears,2020/05,-1
Illes Balears,2020/06,-0.5
Illes Balears,2020/07,-0.6
Illes Balears,2020/08,-0.7
Illes Balears,2020/09,-0.5
Illes Balears,2020/10,-0.7
Illes Balears,2020/11,-0.5
Illes Balears,2020/12,-0.4
Illes Balears,2021/01,0.7
Illes Balears,2021/02,0.2
Illes Balears,2021/03,1.6
Illes Balears,2021/04,2.6
Illes Balears,2021/05,3.1
Illes Balears,2021/06,3.2
Illes Balears,2021/07,3
Illes Balears,2021/08,3.4
Illes Balears,2021/09,4.2
Illes Balears,2021/10,5.6
Canarias,2020/01,1.1
Canarias,2020/02,1.1
Canarias,2020/03,0.9
Canarias,2020/04,0.4
Canarias,2020/05,0.4
Canarias,2020/06,0.8
Canarias,2020/07,0.7
Canarias,2020/08,0.5
Canarias,2020/09,0.3
Canarias,2020/10,0.3
Canarias,2020/11,0
Canarias,2020/12,-0.1
Canarias,2021/01,0.2
Canarias,2021/02,-0.4
Canarias,2021/03,0.4
Canarias,2021/04,1.2
Canarias,2021/05,1.6
Canarias,2021/06,1.6
Canarias,2021/07,1.8
Canarias,2021/08,2.4
Canarias,2021/09,3.2
Canarias,2021/10,4.2
Cantabria,2020/01,1.1
Cantabria,2020/02,0.8
Cantabria,2020/03,0
Cantabria,2020/04,-0.7
Cantabria,2020/05,-1.1
Cantabria,2020/06,-0.5
Cantabria,2020/07,-0.4
Cantabria,2020/08,-0.6
Cantabria,2020/09,-0.4
Cantabria,2020/10,-0.8
Cantabria,2020/11,-0.9
Cantabria,2020/12,-0.5
Cantabria,2021/01,0.5
Cantabria,2021/02,-0.1
Cantabria,2021/03,1.5
Cantabria,2021/04,2.3
Cantabria,2021/05,2.7
Cantabria,2021/06,3.1
Cantabria,2021/07,3
Cantabria,2021/08,3.5
Cantabria,2021/09,4.5
Cantabria,2021/10,5.5
Castilla y León,2020/01,1.1
Castilla y León,2020/02,0.7
Castilla y León,2020/03,-0.2
Castilla y León,2020/04,-1.1
Castilla y León,2020/05,-1.4
Castilla y León,2020/06,-0.7
Castilla y León,2020/07,-0.9
Castilla y León,2020/08,-0.7
Castilla y León,2020/09,-0.6
Castilla y León,2020/10,-1.1
Castilla y León,2020/11,-1
Castilla y León,2020/12,-0.7
Castilla y León,2021/01,0.4
Castilla y León,2021/02,-0.1
Castilla y León,2021/03,1.5
Castilla y León,2021/04,2.5
Castilla y León,2021/05,3.2
Castilla y León,2021/06,3.3
Castilla y León,2021/07,3.5
Castilla y León,2021/08,3.8
Castilla y León,2021/09,4.5
Castilla y León,2021/10,6.1
Castilla - La Mancha,2020/01,1.4
Castilla - La Mancha,2020/02,0.9
Castilla - La Mancha,2020/03,-0.2
Castilla - La Mancha,2020/04,-1.2
Castilla - La Mancha,2020/05,-1.4
Castilla - La Mancha,2020/06,-0.6
Castilla - La Mancha,2020/07,-0.8
Castilla - La Mancha,2020/08,-0.7
