Componentes,date,value
01-Alimentos y bebidas no alcohólicas,2017,197.711
01-Alimentos y bebidas no alcohólicas,2018,194.214
01-Alimentos y bebidas no alcohólicas,2019,188.834
01-Alimentos y bebidas no alcohólicas,2020,194.868
01-Alimentos y bebidas no alcohólicas,2021,236.183
02-Bebidas alcohólicas y tabaco,2017,30.19
02-Bebidas alcohólicas y tabaco,2018,29.752
02-Bebidas alcohólicas y tabaco,2019,28.979
02-Bebidas alcohólicas y tabaco,2020,28.487
02-Bebidas alcohólicas y tabaco,2021,31.985
08-Comunicaciones,2017,35.96
08-Comunicaciones,2018,36.374
08-Comunicaciones,2019,37.358
08-Comunicaciones,2020,38.115
08-Comunicaciones,2021,37.299
10-Enseñanza,2017,16.793
10-Enseñanza,2018,16.661
10-Enseñanza,2019,16.437
10-Enseñanza,2020,16.444
10-Enseñanza,2021,16.565
"05-Muebles, artículos del hogar y mantenimiento",2017,58.765
"05-Muebles, artículos del hogar y mantenimiento",2018,58.457
"05-Muebles, artículos del hogar y mantenimiento",2019,58.499
"05-Muebles, artículos del hogar y mantenimiento",2020,57.725
"05-Muebles, artículos del hogar y mantenimiento",2021,59.417
09-Ocio y cultura,2017,85.209
09-Ocio y cultura,2018,86.014
09-Ocio y cultura,2019,84.271
09-Ocio y cultura,2020,84.067
09-Ocio y cultura,2021,67.9
12-Otros bienes y servicios,2017,67.499
12-Otros bienes y servicios,2018,67.758
12-Otros bienes y servicios,2019,67.779
12-Otros bienes y servicios,2020,68.245
12-Otros bienes y servicios,2021,70.962
11-Restaurantes y hoteles,2017,121.193
11-Restaurantes y hoteles,2018,123.381
11-Restaurantes y hoteles,2019,124.295
11-Restaurantes y hoteles,2020,120.519
11-Restaurantes y hoteles,2021,116.38
06-Sanidad,2017,39.612
06-Sanidad,2018,39.539
06-Sanidad,2019,38.172
06-Sanidad,2020,38.909
06-Sanidad,2021,39.292
07-Transporte,2017,146.693
07-Transporte,2018,147.441
07-Transporte,2019,154.58
07-Transporte,2020,154.006
07-Transporte,2021,124.493
03-Vestido y calzado,2017,67.342
03-Vestido y calzado,2018,66.576
03-Vestido y calzado,2019,67.249
03-Vestido y calzado,2020,64.885
03-Vestido y calzado,2021,63.699
"04-Vivienda, agua, electricidad, gas y otros combustibles",2017,133.033
"04-Vivienda, agua, electricidad, gas y otros combustibles",2018,133.833
"04-Vivienda, agua, electricidad, gas y otros combustibles",2019,133.546
"04-Vivienda, agua, electricidad, gas y otros combustibles",2020,133.729
"04-Vivienda, agua, electricidad, gas y otros combustibles",2021,135.824
