"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.96319701598349,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",1.07110247823939,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",1.43916912862374,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",1.08499805001483,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.48239364466552,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.57013565680352,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.07707202978028,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",4.25859440593914,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",3.99200116877976,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.55089152661648,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",2.84706451725197,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.82214557139684,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.92336042782966,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",2.13646183852106,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",2.36019998055505,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",2.67644137973752,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.941764826194817,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.0259124459756145,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.415752872498679,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.329629014520301,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.853960012331858,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.37854984650269,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.28649363620525,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",4.96481456051933,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",4.55616381054821,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.9146861116076,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",3.10555019723158,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.80993861109621,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.94486924670233,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",2.05489085018343,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",2.16492323731238,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",2.24998777506044,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.998892470182722,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.107969952172303,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.421767937292387,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.222841949380833,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.03721070651473,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.14401323906871,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",1.91659407286151,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",2.53275170049957,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",2.04157038684099,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",1.94698160646616,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",1.8131370676441,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.68887281065328,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.75913927068267,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",1.82702679145236,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",1.87545215618235,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",1.90010329080269,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.32064440681692,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.357948406851148,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.338876876030053,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.0876148952462033,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.969882414250343,
